Service Tag,Device Model,Device Type,Warranty Type,Service Level Description,Days Remaining
"8VQ2T52","PowerEdge R730xd","Compute","INITIAL","C, NBD ONSITE","0"
"2LZ2X52","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"7HTKFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"8VQ0T52","PowerEdge R730xd","Compute","INITIAL","C, NBD ONSITE","0"
"8KCVDB2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"1FVD1T2","PowerEdge R640","Compute","INITIAL","C, NBD ONSITE","593"
"6DZVRZ2","PowerEdge R440","Compute","INITIAL","ND ProSupport EndUser On-Site Extended with Dates","872"
"6DZVRZ2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","872"
"24PN513","PowerEdge R740xd","Compute","INITIAL","C, NBD ONSITE","927"
"3DD5XK2","PowerEdge R430","Compute","INITIAL","C, NBD ONSITE","95"
"HJXJRD2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"1FTD1T2","PowerEdge R640","Compute","INITIAL","C, NBD ONSITE","593"
"7HSJFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"HFCJRD2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"3DD6XK2","PowerEdge R430","Compute","INITIAL","C, NBD ONSITE","95"
"B61PKH2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","17"
"3DD9XK2","PowerEdge R430","Compute","INITIAL","C, NBD ONSITE","95"
"3RWYFK2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","28"
"7HVFFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"7HVGFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"DL22KB2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"DL23KB2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"C4Q5082","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"3DD7XK2","PowerEdge R430","Compute","INITIAL","C, NBD ONSITE","95"
"7HSKFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"13P5VL1","PowerEdge R210","Compute","EXTENDED","C, NBD ONSITE","0"
"DZ74QD2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"B60SKH2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","17"
"3RYRFK2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","28"
"B60QKH2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","17"
"J2N1942","PowerEdge R620","Compute","INITIAL","ProSupport Plus","0"
"J2N1942","PowerEdge R620","Compute","EXTENDED","C, NBD ONSITE","0"
"H4GTR52","PowerEdge R730xd","Compute","INITIAL","C, NBD ONSITE","0"
"H4GTR52","PowerEdge R730xd","Compute","INITIAL","L, DELL","16471"
"6DZ1SZ2","PowerEdge R440","Compute","INITIAL","ND ProSupport EndUser On-Site Extended with Dates","872"
"6DZ1SZ2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","872"
"3DD8XK2","PowerEdge R430","Compute","INITIAL","C, NBD ONSITE","95"
"7HSHFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"BB9W282","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"3DD4XK2","PowerEdge R430","Compute","INITIAL","C, NBD ONSITE","95"
"7HTLFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"3RXRFK2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","28"
"HJXLRD2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"H4GVR52","PowerEdge R730xd","Compute","INITIAL","C, NBD ONSITE","0"
"H4GVR52","PowerEdge R730xd","Compute","INITIAL","L, DELL","16471"
"7HSLFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
"J2N3942","PowerEdge R620","Compute","INITIAL","ProSupport Plus","0"
"8VQ4T52","PowerEdge R730xd","Compute","INITIAL","C, NBD ONSITE","0"
"J2N3942","PowerEdge R620","Compute","EXTENDED","C, NBD ONSITE","0"
"BB9V282","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","0"
"B60RKH2","PowerEdge R630","Compute","INITIAL","C, NBD ONSITE","17"
"7HTHFX2","PowerEdge R440","Compute","INITIAL","C, NBD ONSITE","760"
